"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Rhinoceros","MM'25","368","Large","Beast","unaligned","13","45 (6d10 + 12)","40 ft.","21","8","15","2","12","6","","","","","","","passive Perception 11","—","2 (XP 450; PB +2)","","Gore. Melee Attack Roll: +7, reach 5 ft. Hit: 14 (2d8 + 5) Piercing damage. If target is a Large or smaller creature and the rhinoceros moved 20+ feet straight toward it immediately before the hit, the target takes an extra 9 (2d8) Piercing damage and has the Prone condition.","","","","","","","Grassland",""
"Riding Horse","MM'25","368","Large","Beast","unaligned","11","13 (2d10 + 2)","60 ft.","16","13","12","2","11","7","","","","","","","passive Perception 10","—","1/4 (XP 50; PB +2)","","Hooves. Melee Attack Roll: +5, reach 5 ft. Hit: 7 (1d8 + 3) Bludgeoning damage.","","","","","","","Grassland, Urban",""
"Roc","MM'25","261","Gargantuan","Monstrosity","unaligned","15","248 (16d20 + 80)","20 ft., Fly 120 ft.","28","10","20","3","10","9","Dex +4, Wis +4","Perception +8","","","","","passive Perception 18","—","11 (XP 7,200; PB +4)","","Multiattack. The roc makes two Beak attacks. It can replace one attack with a Talons attack.
Beak. Melee Attack Roll: +13, reach 10 ft. Hit: 28 (3d12 + 9) Piercing damage.
Talons. Melee Attack Roll: +13, reach 5 ft. Hit: 23 (4d6 + 9) Slashing damage. If the target is a Huge or smaller creature, it has the Grappled condition (escape DC 19) from both talons, and it has the Restrained condition until the grapple ends.","Swoop (Recharge 5–6). If the roc has a creature Grappled, the roc flies up to half its Fly Speed without provoking Opportunity Attacks and drops that creature.","","","","","","Arctic, Coastal, Desert, Hill, Mountain","Any"
"Roper","MM'25","262","Large","Aberration","neutral evil","20","93 (11d10 + 33)","10 ft., Climb 20 ft.","18","8","17","7","16","6","","Perception +6, Stealth +5","","","","","Darkvision 60 ft., passive Perception 16","—","5 (XP 1,800; PB +3)","Spider Climb. The roper can climb difficult surfaces, including along ceilings, without needing to make an ability check.","Multiattack. The roper makes two Tentacle attacks, uses Reel, and makes two Bite attacks.
Bite. Melee Attack Roll: +7, reach 5 ft. Hit: 17 (3d8 + 4) Piercing damage.
Tentacle. Melee Attack Roll: +7, reach 60 ft. Hit: The target has the Grappled condition (escape DC 14) from one of six tentacles, and the target has the Poisoned condition until the grapple ends.The tentacle can be damaged, freeing a creature it has Grappled when destroyed (AC 20, HP 10, Immunity to Poison and Psychic damage). Damaging the tentacle deals no damage to the roper, and a destroyed tentacle regrows at the start of the roper's next turn.
Reel. The roper pulls each creature Grappled by it up to 30 feet straight toward it.","","","","","","","Underdark","Any"
"Rosie Beestinger","AI","203","Small","Humanoid (Halfling)","chaotic good","15 (Unarmored Defense)","45 (10d6 + 10)","40 ft.","8","16","12","12","14","14","Str +1, Dex +5","Acrobatics +5, History +3, Intimidation +4, Stealth +5","","","","","passive Perception 12","Common, Draconic, Elvish, Halfling","3 (XP 700; PB +2)","Brave. Rosie has advantage on saving throws against being frightened.
Evasion. If Rosie is subjected to an effect that allows her to make a Dexterity saving throw to take only half damage, she instead takes no damage if she succeeds on the saving throw, and only half damage if she fails. She can't use this trait if she's incapacitated.
Halfling Nimbleness. Rosie can move through the space of any creature that is of a size larger than hers.
Innate Spellcasting. Rosie's innate spellcasting ability is Wisdom (spell save DC 12). She can innately cast the following spells, requiring no material components:At will: minor illusion, sacred flame, thaumaturgy1/day each: command, darkness, darkvision, pass without trace, silence
Shadow Step. When Rosie is in dim light or darkness, she can use a bonus action to teleport 60 feet to an unoccupied space she can see that is also in dim light or darkness. She then has advantage on the first melee attack she makes before the end of the turn.","Multiattack. Rosie makes three attacks, then makes two unarmed strike attacks.
Staff of the Master (+1 Quarterstaff). Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage, or 8 (1d8 + 4) bludgeoning damage if used with two hands.
Unarmed Strike. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Rosie's unarmed strikes are magical.","","Deflect Missiles. In response to being hit by a ranged weapon attack, Rosie deflects the missile. The damage she takes from the attack is reduced by 1d10 + 9. If the damage is reduced to 0, she catches the missile if it's small enough to hold in one hand and she has a hand free.","","","","","",""
"Rust Monster","MM'25","263","Medium","Monstrosity","unaligned","14","33 (6d8 + 6)","40 ft.","13","12","13","2","13","6","","","","","","","Darkvision 60 ft., passive Perception 11","—","1/2 (XP 100; PB +2)","Iron Scent. The rust monster can pinpoint the location of ferrous metal within 30 feet of itself.","Multiattack. The rust monster makes one Bite attack and uses Antennae twice.
Bite. Melee Attack Roll: +3, reach 5 ft. Hit: 5 (1d8 + 1) Piercing damage.
Antennae. The rust monster targets one nonmagical metal object—armor or a weapon—worn or carried by a creature within 5 feet of itself. Dexterity Saving Throw: DC 11, the creature with the object. Failure: The object takes a -1 penalty to the AC it offers (armor) or to its attack rolls (weapon). Armor is destroyed if the penalty reduces its AC to 10, and a weapon is destroyed if its penalty reaches -5. The penalty can be removed by casting the Mending spell on the armor or weapon.
Destroy Metal. The rust monster touches a nonmagical metal object within 5 feet of itself that isn't being worn or carried. The touch destroys a 1-foot Cube of the object.","","Reflexive Antennae. Trigger: An attack roll hits the rust monster. Response: The rust monster uses Antennae.","","","","","Underdark",""
"Saber-Toothed Tiger","MM'25","369","Large","Beast","unaligned","13","52 (7d10 + 14)","40 ft.","18","17","15","3","12","8","Str +6, Dex +5","Perception +5, Stealth +7","","","","","Darkvision 60 ft., passive Perception 15","—","2 (XP 450; PB +2)","Running Leap. With a 10-foot running start, the tiger can Long Jump up to 25 feet.","Multiattack. The tiger makes two Rend attacks.
Rend. Melee Attack Roll: +6, reach 5 ft. Hit: 11 (2d6 + 4) Slashing damage.","Nimble Escape. The tiger takes the Disengage or Hide action.","","","","","","Arctic, Hill, Mountain",""
"Sahuagin Baron","MM'25","265","Large","Fiend","lawful evil","16","76 (9d10 + 27)","30 ft., Swim 50 ft.","19","15","16","14","13","17","Dex +5, Con +6, Wis +4","Perception +7","","acid, cold","","","Darkvision 120 ft., passive Perception 17","Sahuagin","5 (XP 1,800; PB +3)","Blood Frenzy. The sahuagin has Advantage on attack rolls against any creature that doesn't have all its Hit Points.
Limited Amphibiousness. The sahuagin can breathe air and water, but it must be submerged at least once every 4 hours to avoid suffocating outside water.
Shark Telepathy. The sahuagin can magically control sharks within 120 feet of itself, using a special telepathy.","Multiattack. The sahuagin makes three Trident attacks.
Trident. Melee or Ranged Attack Roll: +7, reach 5 ft. or range 20/60 ft. Hit: 13 (2d8 + 4) Piercing damage.","","Fiendish Blood. Trigger: The sahuagin takes Piercing or Slashing damage. Response—Constitution Saving Throw: DC 14, each creature of the sahuagin's choice in a 5-foot Emanation originating from the sahuagin. Failure: 10 (3d6) Acid damage, and the target is cursed until it finishes a Short or Long Rest. While cursed, the target can't benefit from the Invisible condition, its Speed decreases by 10 feet, and all Fiends within 120 feet of the target can sense its location regardless of interposing obstacles.","","","","","Coastal, Underwater","Any"
"Sahuagin Priest","MM'25","265","Medium","Fiend","lawful evil","12","38 (7d8 + 7)","30 ft., Swim 40 ft.","13","11","12","12","14","13","","Perception +6, Religion +3","","acid, cold","","","Darkvision 120 ft., passive Perception 16","Sahuagin","2 (XP 450; PB +2)","Blood Frenzy. The sahuagin has Advantage on attack rolls against any creature that doesn't have all its Hit Points.
Limited Amphibiousness. The sahuagin can breathe air and water, but it must be submerged at least once every 4 hours to avoid suffocating outside water.
Shark Telepathy. The sahuagin can magically control sharks within 120 feet of itself, using a special telepathy.","Multiattack. The sahuagin makes two Spectral Jaws attacks.
Spectral Jaws. Melee or Ranged Attack Roll: +4, reach 5 ft. or range 120 ft. Hit: 11 (2d8 + 2) Force damage.
Spellcasting. The sahuagin casts one of the following spells, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 12):At will: Thaumaturgy2/day each: Hold Person, Tongues","Fiendish Aid (2/Day). The sahuagin casts Bless or Healing Word, using the same spellcasting ability as Spellcasting.","","","","","","Coastal, Underwater","Any"
"Sahuagin Warrior","MM'25","264","Medium","Fiend","lawful evil","12","22 (4d8 + 4)","30 ft., Swim 40 ft.","13","11","12","12","13","9","","Perception +5","","acid, cold","","","Darkvision 120 ft., passive Perception 15","Sahuagin","1/2 (XP 100; PB +2)","Blood Frenzy. The sahuagin has Advantage on attack rolls against any creature that doesn't have all its Hit Points.
Limited Amphibiousness. The sahuagin can breathe air and water, but it must be submerged at least once every 4 hours to avoid suffocating outside water.
Shark Telepathy. The sahuagin can magically control sharks within 120 feet of itself, using a special telepathy.","Multiattack. The sahuagin makes two Claw attacks.
Claw. Melee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6 + 1) Slashing damage.","Aquatic Charge. The sahuagin swims up to its Swim Speed straight toward an enemy it can see.","","","","","","Coastal, Underwater","Any"
"Salamander","MM'25","267","Large","Elemental","neutral evil","15","90 (12d10 + 24)","30 ft., Climb 30 ft.","18","14","15","11","10","12","","","cold","","fire","","Darkvision 60 ft., passive Perception 10","Primordial (Ignan)","5 (XP 1,800; PB +3)","Fire Aura. At the end of each of the salamander's turns, each creature of the salamander's choice in a 5-foot Emanation originating from the salamander takes 7 (2d6) Fire damage.","Multiattack. The salamander makes two Flame Spear attacks. It can replace one attack with a use of Constrict.
Flame Spear. Melee or Ranged Attack Roll: +7, reach 5 ft. or range 20/60 ft. Hit: 13 (2d8 + 4) Piercing damage plus 7 (2d6) Fire damage. Hit or Miss: The spear magically returns to the salamander's hand immediately after a ranged attack.
Constrict. Strength Saving Throw: DC 15, one Large or smaller creature the salamander can see within 10 feet. Failure: 11 (2d6 + 4) Bludgeoning damage plus 7 (2d6) Fire damage. The target has the Grappled condition (escape DC 14), and it has the Restrained condition until the grapple ends.","","","","","","","Planar (Elemental Plane of Fire), Underdark","Armaments"
"Salamander Fire Snake","MM'25","266","Medium","Elemental","neutral evil","14","27 (6d8)","30 ft., Climb 30 ft.","12","14","11","7","10","8","","","cold","","fire","","Darkvision 60 ft., passive Perception 10","Understands Primordial but can't speak","1 (XP 200; PB +2)","Fire Aura. At the end of each of the salamander's turns, each creature of the salamander's choice in a 5-foot Emanation originating from the salamander takes 3 (1d6) Fire damage.","Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 6 (1d8 + 2) Piercing damage plus 3 (1d6) Fire damage.","","","","","","","Planar (Elemental Plane of Fire), Underdark","Armaments"
"Salamander Inferno Master","MM'25","267","Large","Elemental","neutral evil","18","256 (27d10 + 108)","40 ft., Climb 40 ft.","24","16","18","14","10","20","Dex +8, Wis +5","","cold","","fire","","Darkvision 120 ft., passive Perception 10","Primordial (Ignan)","15 (XP 13,000; PB +5)","Fire Aura. At the end of each of the salamander's turns, each creature of the salamander's choice in a 10-foot Emanation originating from the salamander takes 10 (3d6) Fire damage.
Magic Resistance. The salamander has Advantage on saving throws against spells and other magical effects.","Multiattack. The salamander makes two Flame Trident attacks.
Flame Trident. Melee or Ranged Attack Roll: +12, reach 5 ft. or range 30/90 ft. Hit: 16 (2d8 + 7) Piercing damage plus 14 (4d6) Fire damage. Hit or Miss: The trident magically returns to the salamander's hand immediately after a ranged attack.
Inferno Blast (Recharge 5–6). Dexterity Saving Throw: DC 18, each creature in a 30-foot-radius Sphere centered on a point the salamander can see within 120 feet. Failure: 35 (10d6) Fire damage, and the target starts burning, taking 5 (1d10) Fire damage at the start of each of its turns instead of the normal burning damage. The target gains 1 Exhaustion level whenever it takes this burning damage. Success: Half damage only.","Blazing Movement. The salamander moves up to its Speed without provoking Opportunity Attacks. During this movement, fire fills a 5-foot Emanation originating from the salamander. When the Emanation enters a creature's space, that creature takes 7 (2d6) Fire damage. A creature can take this damage only once per turn.","","","","","","Planar (Elemental Plane of Fire), Underdark","Armaments"
"Satyr","MM'25","268","Medium","Fey","chaotic neutral","13","31 (7d8)","40 ft.","12","16","11","12","10","14","","Perception +2, Performance +6, Stealth +5","","","","","passive Perception 12","Common, Elvish, Sylvan","1/2 (XP 100; PB +2)","Magic Resistance. The satyr has Advantage on saving throws against spells and other magical effects.","Hooves. Melee Attack Roll: +5, reach 5 ft. Hit: 5 (1d4 + 3) Bludgeoning damage. If the target is a Medium or smaller creature, the satyr pushes the target up to 10 feet straight away from itself.
Mockery. Wisdom Saving Throw: DC 12, one creature the satyr can see within 90 feet. Failure: 5 (1d6 + 2) Psychic damage.","","","","","","","Forest, Planar (Feywild)","Implements"
"Satyr Revelmaster","MM'25","268","Medium","Fey","chaotic neutral","17","82 (15d8 + 15)","40 ft.","12","18","12","12","14","17","Dex +7, Wis +5","Acrobatics +7, Perception +5, Performance +9","","","","","passive Perception 15","Common, Elvish, Sylvan","6 (XP 2,300; PB +3)","Magic Resistance. The satyr has Advantage on saving throws against spells and other magical effects.","Multiattack. The satyr makes three Prance attacks.
Prance. Melee Attack Roll: +7, reach 5 ft. Hit: 13 (2d8 + 4) Bludgeoning damage, and the target has the Charmed condition until the start of the satyr's next turn.
Fey Melody (Recharge 4–6). The satyr conjures a charming or frightening song. Wisdom Saving Throw: DC 14, each enemy in a 60-foot Emanation originating from the satyr. Failure: The target is subjected to the song's effect:Charming. The target has the Charmed condition for 1 minute. While Charmed, the target has the Incapacitated condition and uses all its movement to dance in place. The effect ends on the target if it takes any damage.Frightening. 10 (2d6 + 3) Psychic damage, and the target has the Frightened condition for 1 minute. If the target ends its turn out of line of sight from the satyr, the condition ends on it.","","","","","","","Forest, Planar (Feywild)","Implements"
"Scarecrow","MM'25","269","Medium","Construct","chaotic evil","11","27 (6d8)","30 ft.","11","13","11","10","10","13","","","fire","","poison","charmed, exhaustion, frightened, paralyzed, petrified, poisoned, unconscious","Darkvision 60 ft., passive Perception 10","Common plus one other language","1 (XP 200; PB +2)","","Fearsome Claw. Melee Attack Roll: +3, reach 5 ft. Hit: 6 (2d4 + 1) Slashing damage, and the target has the Frightened condition until the end of the scarecrow's next turn.
Terrifying Glare. Wisdom Saving Throw: DC 11, one creature the scarecrow can see within 30 feet. Failure: The target has the Frightened condition until the end of the scarecrow's next turn. While Frightened, the target has the Paralyzed condition.","","","","","","","Grassland",""
"Scorpion","MM'25","369","Tiny","Beast","unaligned","11","1 (1d4 - 1)","10 ft.","2","11","8","1","8","2","","","","","","","Blindsight 10 ft., passive Perception 9","—","0 (XP 10; PB +2)","","Sting. Melee Attack Roll: +2, reach 5 ft. Hit: 1 Piercing damage plus 3 (1d6) Poison damage.","","","","","","","Desert",""
"Scout","MM'25","270","Small or Medium","Humanoid","neutral","13","16 (3d8 + 3)","30 ft.","11","14","12","11","13","11","","Nature +4, Perception +5, Stealth +6, Survival +5","","","","","passive Perception 15","Common plus one other language","1/2 (XP 100; PB +2)","","Multiattack. The scout makes two attacks, using Shortsword and Longbow in any combination.
Shortsword. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Piercing damage.
Longbow. Ranged Attack Roll: +4, range 150/600 ft. Hit: 6 (1d8 + 2) Piercing damage.","","","","","","","Any","Individual, Implements"
"Scout Captain","MM'25","270","Small or Medium","Humanoid","neutral","15","66 (12d8 + 12)","30 ft., Climb 30 ft.","11","16","12","14","15","11","Dex +5, Int +4","Perception +6, Stealth +7, Survival +6","","","","","passive Perception 16","Common plus one other language","3 (XP 700; PB +2)","","Multiattack. The scout makes two attacks, using Shortsword or Longbow in any combination.
Shortsword. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3) Piercing damage, plus 10 (3d6) Piercing damage if the attack was made with Advantage.
Longbow. Ranged Attack Roll: +5, range 150/600 ft. Hit: 7 (1d8 + 3) Piercing damage, plus 10 (3d6) Piercing damage if the attack was made with Advantage.","Aim. The scout has Advantage on the next attack roll it makes during the current turn.","Uncanny Dodge. Trigger: The scout is hit by an attack roll. Response: The scout halves the damage (round down) it takes from that attack.","","","","","Any","Individual, Implements"
"Sea Hag","MM'25","271","Medium","Fey","chaotic evil","14","52 (7d8 + 21)","30 ft., Swim 40 ft.","16","13","16","12","12","13","","","","","","","Darkvision 60 ft., passive Perception 11","Common, Giant, Primordial (Aquan)","2 (XP 450; PB +2)","Amphibious. The hag can breathe air and water.
Coven Magic. While within 30 feet of at least two hag allies, the hag can cast one of the following spells, requiring no Material components, using the spell's normal casting time, and using Intelligence as the spellcasting ability (spell save DC 11): Augury, Find Familiar, Identify, Locate Object, Scrying, or Unseen Servant. The hag must finish a Long Rest before using this trait to cast that spell again.
Vile Appearance. Wisdom Saving Throw: DC 11, any Beast or Humanoid that starts its turn within 30 feet of the hag and can see the hag's true form. Failure: The target has the Frightened condition until the start of its next turn. Success: The target is immune to this hag's Vile Appearance for 24 hours.","Claw. Melee Attack Roll: +5, reach 5 ft. Hit: 10 (2d6 + 3) Slashing damage.
Death Glare (Recharge 5–6). Wisdom Saving Throw: DC 11, one Frightened creature the hag can see within 30 feet. Failure: If the target has 20 Hit Points or fewer, it drops to 0 Hit Points. Otherwise, the target takes 13 (3d8) Psychic damage.
Illusory Appearance. The hag casts Disguise Self, using Constitution as the spellcasting ability (spell save DC 13). The spell's duration is 24 hours.","","","","","","","Coastal, Underwater","Arcana"
"Seahorse","MM'25","369","Tiny","Beast","unaligned","12","1 (1d4 - 1)","5 ft., Swim 20 ft.","1","12","8","1","10","2","","Perception +2, Stealth +5","","","","","passive Perception 12","—","0 (PB +2)","Water Breathing. The seahorse can breathe only underwater.","Bubble Dash. While underwater, the seahorse moves up to its Swim Speed without provoking Opportunity Attacks.","","","","","","","Underwater",""
"Shadow","MM'25","272","Medium","Undead","chaotic evil","12","27 (5d8 + 5)","40 ft.","6","14","13","6","10","8","","Stealth +6","radiant","acid, cold, fire, lightning, thunder","necrotic, poison","exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","Darkvision 60 ft., passive Perception 10","—","1/2 (XP 100; PB +2)","Amorphous. The shadow can move through a space as narrow as 1 inch without expending extra movement to do so.
Sunlight Weakness. While in sunlight, the shadow has Disadvantage on D20 Tests.","Draining Swipe. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Necrotic damage, and the target's Strength score decreases by 1d4. The target dies if this reduces that score to 0. If a Humanoid is slain by this attack, a Shadow rises from the corpse 1d4 hours later.","Shadow Stealth. While in Dim Light or Darkness, the shadow takes the Hide action.","","","","","","Planar (Shadowfell), Underdark, Urban",""
"Shadow Demon","MM'25","273","Medium","Fiend (Demon)","chaotic evil","14","66 (12d8 + 12)","30 ft., Fly 30 ft. (hover)","1","17","12","14","13","14","Dex +5, Cha +4","Stealth +7","radiant","acid, bludgeoning, cold, fire, lightning, piercing, slashing, thunder","necrotic, poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained","Darkvision 120 ft., passive Perception 11","Abyssal; telepathy 120 ft.","4 (XP 1,100; PB +2)","Demonic Restoration. If the demon dies outside the Abyss, its body dissolves into ichor, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Abyss.
Incorporeal Movement. The demon can move through other creatures and objects as if they were Difficult Terrain. It takes 5 (1d10) Force damage if it ends its turn inside an object.
Light Sensitivity. While in Bright Light, the demon has Disadvantage on ability checks and attack rolls.","Umbral Claw. Melee Attack Roll: +5, reach 5 ft. Hit: 16 (3d8 + 3) Psychic damage.","Shadow Stealth. While in Dim Light or Darkness, the demon takes the Hide action.","","","","","","Planar (Abyss)",""
"Shadow Dragon","MM'25","275","Huge","Dragon","chaotic evil","16","189 (18d12 + 72)","40 ft., Climb 40 ft., Fly 80 ft.","21","19","18","14","12","18","Dex +9, Wis +6","Perception +11, Stealth +14","","See Living Shadow","necrotic","","Blindsight 30 ft., Darkvision 120 ft., passive Perception 21","Common, Draconic","13 (XP 10,000, or 11,500 in lair; PB +5)","Legendary Resistance (3/Day, or 4/Day in Lair). If the dragon fails a saving throw, it can choose to succeed instead.
Living Shadow. While in Dim Light or Darkness, the dragon has Resistance to damage that isn't Force, Psychic, or Radiant.
Sunlight Sensitivity. While in sunlight, the dragon has Disadvantage on ability checks and attack rolls.","Multiattack. The dragon makes three Rend attacks.
Rend. Melee Attack Roll: +10, reach 10 ft. Hit: 12 (2d6 + 5) Slashing damage plus 3 (1d6) Necrotic damage.
Shadow Breath (Recharge 5–6). Dexterity Saving Throw: DC 17, each creature in a 60-foot Cone. Failure: 35 (10d6) Necrotic damage. Success: Half damage. Failure or Success: A Humanoid reduced to 0 Hit Points by this damage dies, and a Shadow rises from the corpse. The shadow is under the dragon's control and shares the dragon's Initiative count but acts immediately after the dragon.","Shadow Stealth. While in Dim Light or Darkness, the dragon takes the Hide action.","","Pounce. The dragon moves up to half its Speed, and it makes one Rend attack.
Veil of Shadow. The dragon uses Shadow Stealth, and one creature of its choice that it can see within 10 feet of it takes 10 (3d6) Necrotic damage. The dragon can't take this action again until the start of its next turn.","","","The region around a shadow dragon's lair is twisted by its presence, creating the following effects:Negative Energy Suffusion. Whenever a creature within 1 mile of the lair regains Hit Points from a spell, it subtracts 1d10 from the number of Hit Points regained.Stifling Shadows. Within 1 mile of the lair, effects that normally create Bright Light instead create Dim Light, and creatures there have Advantage on Dexterity (Stealth) checks.If the dragon dies or moves its lair elsewhere, these effects end immediately.","Planar (Shadowfell), Underdark","Any"
"Shambling Mound","MM'25","276","Large","Plant","unaligned","15","110 (13d10 + 39)","30 ft., Swim 20 ft.","18","8","16","5","10","5","","Stealth +3","","cold, fire","lightning","deafened, exhaustion","Blindsight 60 ft., passive Perception 10","—","5 (XP 1,800; PB +3)","Lightning Absorption. Whenever the shambling mound is subjected to Lightning damage, it regains a number of Hit Points equal to the Lightning damage dealt.","Multiattack. The shambling mound makes three Charged Tendril attacks. It can replace one attack with a use of Engulf.
Charged Tendril. Melee Attack Roll: +7, reach 10 ft. Hit: 7 (1d6 + 4) Bludgeoning damage plus 5 (2d4) Lightning damage. If the target is a Medium or smaller creature, the shambling mound pulls the target 5 feet straight toward itself.
Engulf. Strength Saving Throw: DC 15, one Medium or smaller creature within 5 feet. Failure: The target is pulled into the shambling mound's space and has the Grappled condition (escape DC 14). Until the grapple ends, the target has the Blinded and Restrained conditions, and it takes 10 (3d6) Lightning damage at the start of each of its turns. When the shambling mound moves, the Grappled target moves with it, costing it no extra movement. The shambling mound can have only one creature Grappled by this action at a time.","","","","","","","Forest, Swamp",""
"Shield Guardian","MM'25","277","Large","Construct","unaligned","17","142 (15d10 + 60)","30 ft.","18","8","18","7","10","3","","","","","poison","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","Blindsight 10 ft., Darkvision 60 ft., passive Perception 10","Understands commands given in any language but can't speak","7 (XP 2,900; PB +3)","Bound. The guardian is magically bound to an amulet. While the guardian and its amulet are on the same plane of existence, the amulet's wearer can telepathically call the guardian to travel to it, and the guardian knows the distance and direction to the amulet. If the guardian is within 60 feet of the amulet's wearer, half of any damage the wearer takes (round up) is transferred to the guardian.
Regeneration. The guardian regains 10 Hit Points at the start of each of its turns if it has at least 1 Hit Point.
Spell Storing. A spellcaster who wears the guardian's amulet can cause the guardian to store one spell of level 4 or lower. To do so, the wearer must cast the spell on the guardian while within 5 feet of it. The spell has no effect but is stored within the guardian. Any previously stored spell is lost when a new spell is stored. The guardian can cast the spell stored with any parameters set by the original caster, requiring no spell components and using the caster's spellcasting ability. The stored spell is then lost.","Multiattack. The guardian makes two Fist attacks.
Fist. Melee Attack Roll: +7, reach 10 ft. Hit: 11 (2d6 + 4) Bludgeoning damage plus 7 (2d6) Force damage.","","Protection. Trigger: An attack roll hits the wearer of the guardian's amulet while the wearer is within 5 feet of the guardian. Response: The wearer gains a +5 bonus to AC, including against the triggering attack and possibly causing it to miss, until the start of the guardian's next turn.","","","","","Urban",""
"Shrieker Fungus","MM'25","125","Medium","Plant","unaligned","5","13 (3d8)","5 ft.","1","1","10","1","3","1","","","","","","blinded, charmed, deafened, frightened","Blindsight 30 ft., passive Perception 6","—","0 (PB +2)","","","","Shriek. Trigger: A creature or a source of Bright Light moves within 30 feet of the shrieker. Response: The shrieker emits a shriek audible within 300 feet of itself for 1 minute or until the shrieker dies.","","","","","Underdark",""
"Silver Dragon Wyrmling","MM'25","278","Medium","Dragon (Metallic)","lawful good","17","45 (6d8 + 18)","30 ft., Fly 60 ft.","19","10","17","12","11","15","Dex +2, Wis +2","Perception +4, Stealth +2","","","cold","","Blindsight 10 ft., Darkvision 60 ft., passive Perception 14","Draconic","2 (XP 450; PB +2)","","Multiattack. The dragon makes two Rend attacks.
Rend. Melee Attack Roll: +6, reach 5 ft. Hit: 9 (1d10 + 4) Piercing damage.
Cold Breath (Recharge 5–6). Constitution Saving Throw: DC 13, each creature in a 15-foot Cone. Failure: 18 (4d8) Cold damage. Success: Half damage.
Paralyzing Breath. Constitution Saving Throw: DC 13, each creature in a 15-foot Cone. First Failure: The target has the Incapacitated condition until the end of its next turn, when it repeats the save. Second Failure: The target has the Paralyzed condition, and it repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.","","","","","","","Mountain, Urban","Arcana"
"Skeleton","MM'25","282","Medium","Undead","lawful evil","14","13 (2d8 + 4)","30 ft.","10","16","15","6","8","5","","","bludgeoning","","poison","exhaustion, poisoned","Darkvision 60 ft., passive Perception 9","Understands Common plus one other language but can't speak","1/4 (XP 50; PB +2)","","Shortsword. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3) Piercing damage.
Shortbow. Ranged Attack Roll: +5, range 80/320 ft. Hit: 6 (1d6 + 3) Piercing damage.","","","","","","","Planar (Shadowfell), Underdark, Urban",""
"Slaad Tadpole","MM'25","284","Tiny","Aberration","chaotic neutral","12","7 (3d4)","30 ft., Burrow 10 ft.","7","15","10","3","5","3","","Stealth +4","","acid, cold, fire, lightning, thunder","","","Darkvision 60 ft., passive Perception 7","Understands Slaad but can't speak","1/8 (XP 25; PB +2)","Magic Resistance. The slaad has Advantage on saving throws against spells and other magical effects.","Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Piercing damage.","","","","","","","Planar (Limbo)","Any"
"Smoke Mephit","MM'25","208","Small","Elemental","neutral evil","12","13 (3d6 + 3)","30 ft., Fly 30 ft.","6","14","12","10","10","11","","Perception +2, Stealth +4","","","fire, poison","exhaustion, poisoned","Darkvision 60 ft., passive Perception 12","Primordial (Auran, Ignan)","1/4 (XP 50; PB +2)","Death Burst. The mephit explodes when it dies. Constitution Saving Throw: DC 11, each creature in a 5-foot Emanation originating from the mephit. Failure: The target has the Poisoned condition until the end of its next turn.","Claw. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Slashing damage.
Cinder Breath (Recharge 6). Dexterity Saving Throw: DC 11, one creature the mephit can see within 15 feet. Failure: The target has the Blinded condition until the end of the mephit's next turn.","","","","","","","Planar (Elemental Planes)",""
