Title,Original Title,Category,Rarity,Attunement,Consumable,Charges,Cursed,Description,Price
Плащ паука,Cloak of Arachnida,Чудесный предмет,Очень редкий,Требуется,Нет,Нет,Нет,"Этот изысканный плащ сделан из чёрного шёлка,
переплетённого тонкими серебряными нитями. Пока
вы его носите, вы получаете следующие эффекты:
Сопротивление яду. Вы получаете сопротивление к
урону ядом.
Паучье лазание. Вы получаете скорость лазания,
равную вашей скорости, и можете перемещаться
вверх, вниз и вдоль вертикальных поверхностей, а
также вверх ногами по потолку, оставляя руки свобод-
ными.
Хождение по паутине. Вы не можете запутаться
ни в какой паутине, и можете перемещаться сквозь
паутину как если бы она была просто труднопроходи-
мой местностью.
Паутина. Вы можете наложить заклинание Паутина
(Сл. спасброска 13). Паутина, создаваемая этим закли-
нанием, заполняет в два раза большую площадь чем
обычно. Это свойство нельзя использовать повторно до
следующего рассвета.",40000 зм
Развевающийся плащ,Cloak of Billowing,Чудесный предмет,Обычный,Не требуется,Нет,Нет,Нет,"Когда вы носите этот плащ, вы можете бонусным
действием заставить его драматично развеваться в
течении 1 минуты.",100 зм
Плащ ускользания,Cloak of Displacement,Чудесный предмет,Редкий,Требуется,Нет,Нет,Нет,"Пока вы носите этот плащ, он магически создаёт
иллюзию, что вы находитесь немного в стороне от
настоящего местонахождения. Это вызывает у существ
помеху на броски атаки по вам. Если вы получаете
урон, это свойство перестаёт действовать до начала
вашего следующего хода. Это свойство подавляется,
если ваша скорость равна 0.",4000 зм
Эльфийский плащ,Cloak of Elvenkind,Чудесный предмет,Необычный,Требуется,Нет,Нет,Нет,"Пока вы носите этот плащ, проверки Мудрости
(Внимательность) для обнаружия вас совершаются с
помехой, а вы совершаете с преимуществом проверки
Ловкости (Скрытность).",400 зм
Плащ невидимости,Cloak of Invisibility,Чудесный предмет,Легендарный,Требуется,Нет,Да,Нет,"У плаща есть 3 заряда и он восстанавливает 1к3 по-
траченных зарядов на рассвете. Пока вы носите этот
плащ, вы можете действием магия натянуть капюшон
на голову и потратить 1 заряд, чтобы получить состоя-
ние невидимый на 1 час. Эффект заканчивается рань-
ше, если вы опустите капюшон (действие не требуется)
или перестанете носить плащ.",200000 зм
Плащ множества стилей,Cloak of Many Fashions,Чудесный предмет,Обычный,Не требуется,Нет,Нет,Нет,"Когда вы носите этот плащ, вы можете бонусным
действием изменить его стиль, цвет и видимое каче-
ство. Вес плаща не меняется. Независимо от внешнего
вида, он может быть только плащом. Хотя он может
принимать вид других магических плащей, но их
свойств он не получает.",100 зм
Плащ защиты,Cloak of Protection,Чудесный предмет,Необычный,Требуется,Нет,Нет,Нет,"Вы получаете бонус +1 к КД и к спасброскам, пока
носите этот плащ.",400 зм
Плащ летучей мыши,Cloak of the Bat,Чудесный предмет,Редкий,Требуется,Нет,Нет,Нет,"Пока вы носите этот плащ, вы совершаете с преиму-
ществом проверки Ловкости (Скрытность). В области
тусклого освещения или темноте вы можете схватить
края плаща обеими руками и получить скорость полёта
40 футов. Если вы отпустите края плаща во время
полёта или перестанете находиться в области тусклого
света или тьмы, вы теряете эту скорость полёта.
Если вы носите этот плащ, и находитесь в области
тусклого освещения или темноте, вы наложить на себя
заклинание Полиморф и превратиться в летучую
мышь. В этой форме вы сохраняете свои значения
Интеллекта, Мудрости и Харизмы. Это свойство плаща
нельзя использовать повторно до следующего рассвета.",4000 зм
Плащ ската,Cloak of the Manta Ray,Чудесный предмет,Необычный,Требуется,Нет,Нет,Нет,"Пока вы носите этот плащ, вы можете дышать под
водой и обладаете скоростью плавания 60 футов.",400 зм
Механистический амулет,Clockwork Amulet,Чудесный предмет,Обычный,Не требуется,Нет,Нет,Нет,"Этот медный амулет содержит очень крошечные
взаимосвязанные шестерёнки и питается магией из
Механуса, плана предсказуемых механизмов. Изнутри
слышны слабые тикающие и жужжащие звуки.
Когда вы носите этот амулет и совершаете бросок
атаки, вы можете не бросать к20 и просто выбрать
значение 10 на кости. Это свойство нельзя использо-
вать повторно до следующего рассвета.",100 зм
Самочинящаяся одежда,Clothes of Mending,Чудесный предмет,Обычный,Не требуется,Нет,Нет,Нет,"Эта элегантная одежда путешественника волшеб-
ным образом чинит себя, устраняя повседневные
износы и повреждения. Уничтоженные части одежды
не могут быть восстановлены таким образом.",100 зм
Хрустальный шар,Crystal Ball,Чудесный предмет,Очень редкий,Требуется,Нет,Нет,Нет,"Пока вы касаетесь этого хрустального шара, вы мо-
жете наложить заклинание Наблюдение (Сл. спасбро-
ска 17) с его помощью.",40000 зм
Хрустальный шар чтения мыслей,Crystal Ball of Mind Reading,Чудесный предмет,Легендарный,Требуется,Нет,Нет,Нет,"Пока вы касаетесь этого хрустального шара,
вы можете наложить заклинание Наблюдение (Сл.
спасброска 17) с его помощью. Кроме того, вы може-
те наложить заклинание Обнаружение мыслей (Сл.
спасброска 17), направленное на существ, которых вы
видите в пределах 30 футов от сенсора заклинания.
Для поддержания этого заклинания Обнаружение
мыслей концентрация не требуется, но оно прекраща-
ется, если заклинание Наблюдение завершится.",200000 зм
Хрустальный шар телепатии,Crystal Ball of Telepathy,Чудесный предмет,Легендарный,Требуется,Нет,Нет,Нет,"Пока вы касаетесь этого хрустального шара, вы мо-
жете наложить заклинание Наблюдение (Сл. спасбро-
ска 17) с его помощью. Кроме того, вы можете телепа-
тически общаться с существами, которых вы видите в
пределах 30 футов от сенсора заклинания. Вы также
можете наложить заклинание Внушение (Сл. спасбро-
ска 17) через сенсор на 1 из таких существ. Вам не
нужно поддерживать концентрацию на этом заклина-
ниии в течение его длительности, но оно прекращает-
ся, если заклинание Наблюдение завершится.",200000 зм
Хрустальный шар истинного зрения,Crystal Ball of True Seeing,Чудесный предмет,Легендарный,Требуется,Нет,Нет,Нет,"Пока вы касаетесь этого хрустального шара, вы мо-
жете наложить заклинание Наблюдение (Сл. спасбро-
ска 17) с его помощью. Кроме того, вы обладаете
истинным зрением в пределах 120 футов с центром на
сенсоре заклинания Наблюдения.",200000 зм
Куб силового поля,Cube of Force,Чудесный предмет,Редкий,Требуется,Нет,Да,Нет,"Этот куб размером около 1 дюйма. Каждая грань
имеет уникальную отметку. Вы можете нажать на одну
из граней, потратив требуемое количество зарядов,
чтобы наложить заклинание, связанное с этой гранью
(Сл. спасброска 17), как указано в таблице «Грани Куба
силы».
Вначале у куба 10 зарядов, и он ежедневно восста-
навливает 1к6 зарядов на рассвете.
Заклинание Кол-во зарядов
Доспеха мага 1
Щит 1
Леомундова хижина 3
Кабинет Морденкайнена 4
Отилюков упругий шар 4
Стена силы 5",4000 зм
Куб призыва,Cube of Summoning,Чудесный предмет,Редкий,Не требуется,Нет,Нет,Нет,"Этот крошечный кубик выглядит как «черт в таба-
керке». Когда вы поворачиваете его ручку действием
магия, из коробки звучит весёлая мелодия, крышка
открывается и существо появляется на ближайшей
свободной клетке, а крышка закрывается. Крышку
невозможно открыть иным способом.
Бросьте кость на таблице «Куб призыва», чтобы опре-
делить, какое заклинание куб накладывает для призы-
ва существа. Заклинание накладывается 5 уровнем (Сл.
спасброска 17, бонус атаки +9) и не требует концентра-
ции, но в остальном вы считаетесь заклинателем.
После того, как куб призывает существо, он не мо-
жет сделать это снова до следующего рассвета.
Куб призыва
1к6 Заклинание
1 Призыв духа аберрации
2 Призыв духа зверя
3 Призыв духа конструкта
4 Призыв духа дракона
5 Призыв духа элементаля
6 Призыв духа феи",4000 зм
Куб врат,Cubic Gate,Чудесный предмет,Легендарный,Не требуется,Нет,Да,Нет,"Это куб с длиной ребра 3 дюйма излучает ощутимую
магическую энергию. Все 6 граней этого куба связа-
ны с разными планами существования, один из них
— Материальный план. Остальные планы определяет
Мастер.
Куб имеет 3 заряда и восстанавливает 1к3 потра-
ченных зарядов на рассвете. Действием магия вы
можете потратить 1 заряд куба, чтобы наложить одно
из следующих заклинаний через куб:
Врата. Нажав на одну из граней куба, вы накла-
дываете заклинание Врата, открывающее проход на
план, связанный с этой гранью.
Уход в иной план. Нажав дважды на одну из гра-
ней куба, вы накладываете заклинание Уход в иной
план, перемещая цели на план, связанный с этой
гранью.",200000 зм
Мгновенная крепость Даэрна,Daern’s Instant Fortress,Чудесный предмет,Редкий,Требуется,Нет,Нет,Нет,"Действием магия вы можете поместить эту ада-
мантитовую статуэтку размером в 1 дюйм на землю
и произнести командное слово, чтобы заставить её
быстро вырасти в квадратную адамантиновую башню.
Повторное произнесение командного слова заставляет
башню вновь принять форму статуэтки, если башня
пуста. Каждое существо в области появления башни
отталкивается в свободное пространство вне башни и
рядом с ней. Объекты в этой области, которые не носят
и не несут, также отталкиваются от башни.
Башня имеет размеры 20 футов с каждой стороны
и высоту 30 футов, с бойницами на всех сторонах и
зубчатой стеной на крыше. Её пространство внутри
разделено на 2 этажа, соединённых лестницей, сту-
пеньками или пандусом (на ваш выбор). Эта лестница,
ступеньки или пандус заканчивается люком, веду-
щим на крышу. При создании у башни есть 1 дверь
на уровне земли с той стороны, что обращена к вам.
Дверь открывается только по вашему приказу, который
вы можете отдать бонусным действием. Она невоспри-
имчива к заклинанию Стук и аналогичной магии.
Магия не позволяет башне быть опрокинутой. Кры-
ша, дверь и стены имеют 20 КД; 100 хитов; иммунитет
к дробящему, колющему и рубящему урону, исключая
урон от осадного оружия; и сопротивление ко всем
другим видам урона. Уменьшение башни обратно до
формы статуэтки не восстанавливает её повреждения.
Только заклинание Желание может восстановить баш-
ню (это накладывание заклинания считается копиро-
ванием заклинания 8 уровня или ниже). Каждое при-
менение Желания восстанавливает все хиты башни.",4000 зм
Кинжал яда,Dagger of Venom,Оружие,Редкий,Не требуется,Нет,Нет,Нет,"Оружие (кинжал)
Вы получаете бонус +1 к броскам атаки и урона,
совершённым этим магическим оружием.
Вы можете бонусным действием заставить этот кли-
нок магически покрыться ядом. Яд остаётся 1 минуту,
или пока атака этим оружием не попадёт по существу.
Это существо должно совершить спасбросок Телос-
ложения со Сл. 15. При провале оно получит 2к10 уро-
на ядом и получит состояние отравленный на 1 мину-
ту. Вы не можете использовать повторно это свойство
до следующего рассвета.",4000 зм
Танцующий меч,Dancing Sword,Оружие,Очень редкий,Требуется,Нет,Нет,Нет,"Оружие (двуручный меч, длинный меч, рапира, скимитар
или короткий меч)
Вы можете бонусным действием подбросить это
магическое оружие. После этого меч начнёт парить,
пролетает до 30 футов и атакует 1 существо на ваш
выбор в пределах 5 футов от него. Оружие использует
ваш бросок атаки и ваш модификатор характеристики
для броска урона.
Пока оружие парит, вы можете бонусным действием
заставить его перелететь на расстояние до 30 футов
в другое место, находящееся в пределах 30 футов от
вас. Частью этого же бонусного действия вы можете
заставить оружие атаковать 1 существо, находящее-
ся в пределах 5 футов от него. После четвёртой атаки
оружие пролетает до 30 футов и пытается вернуться в
вашу руку. Если у вас нет свободных рук, то оно пада-
ет на землю в вашем пространстве. Если у оружия нет
свободного пути до вас, то оно перемещается макси-
мально близко к вам и потом падает на землю. Оружие
перестаёт парить, если вы хватаете его или окажетесь
на расстоянии более 30 футов от него.",40000 зм
Амулет тёмного осколка,Dark Shard Amulet,Чудесный предмет,Обычный,Требуется заклинательная,Нет,Нет,Нет,"требуется настройка колдуном
Этот амулет выполнен из цельного осколка прочного
экстрапланарного материала. Пока он надет на вас,
вы получаете следующие эффекты:
Заклинательная фокусировка. Вы можете исполь-
зовать этот амулет в качестве магической фокусиров-
ки для ваших заклинаний колдуна.
Неизвестный заговор. Действием магия вы може-
те попробовать наложить заговор, которого не знаете.
Этот заговор должен быть в списке заклинаний колду-
на и иметь время накладывание 1 действие). Для этого
совершите проверку Интеллекта (Аркана) со Сл. 10.
При успехе вы накладываете заклинание. При провале
наложить заклинание не удаётся и действие, которое
было предназначено для наложения заклинания, теря-
ется. В любом случае вы не можете снова использовать
это свойство снова, пока не завершите продолжитель-
ный отдых.",100 зм
Графин бесконечной воды,Decanter of Endless Water,Чудесный предмет,Необычный,Не требуется,Нет,Нет,Нет,"Эта закупоренная фляга булькает, если её потря-
сти, как будто в ней находится вода. Весит графин 2
фунта.
Вы можете действием магия откупорить графин и
произнести 1 из 3 ключевых слов, после чего из гра-
фина выливается указанное количество пресной или
солёной воды (на ваш выбор). Вода прекращает литься
в начале вашего следующего хода. Выберите 1 из сле-
дующих слов:
Ручей. Графин производит 1 галлон (3,78 литра)
воды.
Фонтан. Графин производит 5 галлонов (19 литров)
воды.
Гейзер. Графин производит 30 галлонов (113,56
литров) воды, которая вырывается струёй 30 футов
длиной и 1 фут шириной. Держа графин, вы може-
те направить струю в выбранном направлении (без
действия). Одно существо на линии должно преуспеть
в спасброске Силы со Сл. 13 или получить 1к4 дробя-
щего урона и получить состояние лежащий ничком.
Вместо существа вы можете нацелиться на 1 объект на
линии, который никто не несёт и не носит и который
весит не больше 200 фунтов. Объект опрокидывается
действием.",400 зм
Колода иллюзий,Deck of Illusions,Чудесный предмет,Необычный,Не требуется,Да,Нет,Нет,"В этой коробке находится набор карт. В полной
колоде 34 карты: 32 с изображением конкретных
существ и 2 с зеркальной поверхностью. В колоде, ко-
торую находят как сокровище, чаще всего не хватает
1к20 − 1 карт.
Магия колоды работает только если карту тянуть
случайным образом. Вы можете действием магия вы-
нуть из колоды случайную карту и бросить её в точку
в пределах 30 футов от себя. Над брошенной картой
появляется иллюзия существа, определённого броском
по таблице «Колода иллюзий». Иллюзия присутствует до
тех пор, пока не будет рассеяна. Иллюзорное существо
выглядит реальным, у него соответствующий размер,
и ведёт себя оно как настоящее существо (как описа-
но в Бестиарии), но не может причинять вред. Пока
вы находитесь в пределах 120 футов от иллюзорного
существа и видите его, вы можете действием магия
переместить его с помощью в любое место в пределах
30 футов от карты.
Любое физическое взаимодействие с иллюзорным
существом показывает его ложную природу, потому
что объекты проходят сквозь него. Тот, кто действием
поиск осмотрит существо, распознает в нём иллюзию
при успешной проверке Интеллекта (Анализ) со Сл.
15. Иллюзия длится до тех пор, пока карта не будет
перемещена или иллюзия не будет развеяна (используя
заклинание Рассеивание магии или аналогичный эф-
фект). Когда иллюзия оканчивается, изображение на
карте исчезает, и её уже больше нельзя использовать.
1к100 Иллюзия
01-03 Взрослый красный дракон
04-06 Архимаг 
07-09 Убийца 
10-12 Капитан разбойников
13-15 Бехолдер 
16-18 Берсерк 
19-21 Багбир воин 
22-24 Облачный великан 
25-27 Друид 
28-30 Эриния 
21-33 Эттин 
34-36 Огненный великан 
37-39 Морозный великан 
40-42 Гнолл воин 
43-45 Гоблин воин 
46-48 Охранная нага 
49-51 Холмовой великан
52-54 Хобгоблин воин
55-57 Инкуб
58-60 Железный голем
61-63 Рыцарь
64-66 Кобольд воин
67-69 Лич
70-72 Медуза
73-75 Ночная карга
76-78 Огр
79-81 Они
82-84 Священник
85-87 Суккуб
88-90 Тролль
91-93 Ветеран воин
94-96 Виверна
97-00 Владелец колоды (вы)",200 зм
Колода многих вещей,Deck of Many Things,Чудесный предмет,Легендарный,Не требуется,Да,Нет,Нет,"TODO
Эта колода, обычно находящаяся в коробке или
мешочке, содержит определённое количество карт,
сделанных из слоновой кости или пергамента. Боль-
шинство (75%) этих колод содержат только 13 карт,
но остальные включают 22. Используйте соответству-
ющий столбец из таблицы «Колода многих вещей» для
случайного определения карт, вытянутых из колоды.
Перед тем, как тянуть карты, вы должны объявить,
сколько собираетесь брать, а затем тяните их случай-
но. Любые карты, взятые сверх названного числа, не
будут иметь эффекта. Как только вы вытянули карту,
её магия начинает действовать. Вы должны тянуть
следующую карту не позднее, чем через 1 час после
предыдущей. Если вы не вытянули названное число
карт, оставшиеся сами вылетают из колоды и вступа-
ют в силу одновременно.
Как только карта вытягивается, она исчезает. Если
это не Дурак или не Шут, то карта вновь появляется
в колоде, что позволяет вытянуть её повторно (если
Дурак или Шут выпадают повторно, то перебросьте по
таблице).
1к100 (колода
на 13 карт)
1к100 (колода
на 22 карты)
Карта
— 01-05 Равновесие
— 06-10 Комета
— 11-14 Тюрьма
01-08 15-18 Эвриала
— 19-23 Судьба
09-16 24-27 Огонь
— 28-31 Дурак
— 32-36 Драгоценность
17-24 37-41 Шут
25-32 42-46 Ключ
33-40 47-51 Рыцарь
41-48 52-56 Луна
— 57-60 Головоломка
59-56 61-64 Плут
57-64 65-68 Руины
— 69-73 Мудрец
65-72 74-77 Череп
73-80 78-82 Звезда
81-88 83-87 Солнце
— 88-91 Когти
89-96 92-96 Трон
97-00 97-00 Пустота",100000 зм
Защитник,Defender,Оружие,Легендарный,Требуется,Нет,Нет,Нет,"Оружие (любое рукопашное оружие)
Вы получаете бонус +3 к броскам атаки и урона
этим магическим оружием.
В первой атаке в каждый ваш ход, когда вы атакуе-
те этим оружием, вы можете перевести весь бонус или
его часть в бонус к КД, а не броскам атаки и урона.
Например, вы можете уменьшить бонус к броскам
атаки и урона до +1, но получить +2 к КД. Изменённые
бонусы действуют до начала вашего следующего хода,
но вы должны держать этот меч, чтобы получать от
него бонус к КД.",200000 зм
Демонический доспех,Demon Armor,Доспех,Очень редкий,Требуется,Нет,Нет,Да,"Доспех (любой лёгкий, средний или тяжёлый)
Пока вы носите этот доспех, вы получаете бонус +1
к КД и знаете язык Бездны. Кроме того, перчатки до-
спеха с когтями позволяют вашим безоружным ударам
наносить 1к8 рубящего урона вместо обычного дробя-
щего, а также вы получаете бонус +1 к броскам атаки
и урона безоружных ударов.
Проклятье. Надев этот проклятый доспех, вы не
можете его снять, пока не станете целью заклинания
Снятие проклятья или подобной магии. Нося этот
доспех, вы совершаете с помехой броски атаки по
демонам, а так же спасброски от заклинаний и особых
умений демонов.",40000 зм
Демономикон Иггвилв,Demonomicon of Iggwilv,Чудесный предмет,Артефакт,Требуется,Нет,Да,Нет,"Этот трактат, составленный архимагом Иггвилв,
описывает слои Бездны и её обитателей, и считается
самым подробным и богохульным томом демоноло-
гии в мультивселенной. В книге рассказывается как
о древнейших, так и о самых современных мерзостях
Бездны и демонов. Демоны пытались уничтожить
текст, и хотя отдельные страницы были вырваны из
корешка книги, общие главы остались, постоянно
раскрывая демонические секреты. Между строчек
текста бурлит тайный кусочек самой Бездны, который
обновляет содержание книги, вне зависимости от того,
сколько страниц удалено. Эта сущность жаждет быть
чем-то большим, чем просто справочным материалом.
Знание о Бездне. Вы можете использовать Демо-
номикон в качестве справочника, когда совершаете
проверку Интеллекта для получения информации о
демонах или проверку Мудрости (Выживание), связан-
ную с Бездной. При этом вы получаете преимущество
на эту проверку.
Заключение. Первые 10 страниц Демономикона
пусты. Действием магия с книгой в руках вы можете
выбрать исчадие, которое находится в зоне действия
заклинания Магический круг. Исчадие должно пре-
успеть в спасбросоке Харизмы со Сл. 20 с помехой
или быть заключённым на одной из пустых страниц
Демономикона. Эта страница заполняется записями с
подробными деталями о существе: имя существа и его
пороки. После применения этого действия его нельзя
применить снова до следующего рассвета.
Когда вы заканчиваете продолжительный отдых,
если вы и Демономикон находитесь на одном пла-
не существования, то одно из заключённых в книге
существ может попытаться завладеть вами. Вы со-
вершаете спасбросок Харизмы со Сл. 20. При провале
вы становитесь одержимым этим существом, которое
контролирует вас, словно марионетку. Действием
магия это существо, которым вы одержимы, может
освободить вас и появиться в ближайшем незанятом
пространстве. При успешном спасброске это исчадие
не может пытаться завладеть вами снова в течение
7 дней (однако другое исчадие, заключённое в книге,
может попытаться).
При нахождении книги в ней обычно содержатся
1к4 Исчадий, чаще всего демоны.
Удержание. Пока вы носите эту книгу, всякий раз,
когда вы накладываете заклинание Магический круг,
указывая только исчадий, или Планарные узы, наце-
ленное на исчадие, это заклинание накладывается
9 уровнем вне зависимости от того, какую ячейку
заклинания вы использовали, если вообще использова-
ли. Кроме того, исчадие совершает спасбросок от этого
заклинания с помехой.
Кара исчадий. Когда книга при вас и вы совер-
шаете бросок урона от заклинания по исчадию, то вы
наносите максимальный урон вместо броска.
Случайные свойства. Артефакт обладает следую-
щими случайными свойствами (см. раздел Артефакты
в этой главе):
• 2 малых положительных свойства
• 1 малое отрицательное свойство
• 1 основное отрицательное свойство
Заклинания. У книги есть 8 зарядов, и она восста-
навливает 1к8 потраченных зарядов ежедневно на
рассвете. Держа книгу, вы можете действием магия
наложить одно из заклинаний (Сл. спасброска 20) из
списка ниже. Таблица указывает, сколько зарядов не-
обходимо потратить для наложения заклинания.
Заклинание Заряды
Магический круг 1
Волшебный сосуд 3
Планарный союзник 3
Планарные узы 2
Уход в иной план
(только в Бездну)
3
Призыв духа исчадия 3
Жуткий смех Таши 0
Уничтожение Демономикона. Для уничтожения
книги 6 разных лордов демонов должны поочередно
вырвать по 1/6 части её страниц. Если это произой-
дёт, то страницы восстанавливаются спустя 24 часа.
Если кто-либо откроет оставшуюся обложку книги до
истечения этого времени, то он переносится в за-
рождающийся слой Бездны, скрытый внутри книги. В
сердце этого смертельно опасного, полуживого домена
находится давно утраченный артефакт — Посох Фраз-
Урб’луу. Если посох вытащить из карманного плана, то
книга превращается в обычную устаревшую копию
Тома Зикса — труда, который послужил основой для
Демономикона Иггвилв. Том Зикса можно уничтожить
как обычную книгу. Как только посох оказывается вне
карманного плана, демон-владыка Фраз-Урб’луу мгно-
венно узнаёт об этом.",Бесценный
Оковы измерений,Dimensional Shackles,Чудесный предмет,Редкий,Не требуется,Нет,Нет,Нет,"Действием использование вы можете надеть эти
оковы на существо с состоянием недеееспособный.
Оковы автоматически подстраиваются под существо
размером от маленького до большого. Они не позво-
ляют существу, связанному ими, использовать любые
методы межпланарного перемещения, включая теле-
портацию или перемещение на другой план. Однако
они не препятствуют проходу через межпланарный
портал.
Вы и любое существо, которое вы укажете при ис-
пользовании оков, можете действием использование
снять их. Раз в 30 дней связанное существо может
совершить проверку Силы (Атлетика) против Сл. 30.
При успешной проверке существо высвобождается и
уничтожает оковы.",4000 зм
Доспех из драконьей чешуи,Dragon Scale Mail,Доспех,Очень редкий,Требуется,Нет,Нет,Нет,"Доспех (чешуйчатый доспех)
Драконья чешуйчатая броня изготавливается из
чешуи одного вида драконов. Иногда драконы сами
собирают сброшенную чешую и дарят её. В других
случаях охотники тщательно сохраняют шкуру убитого
дракона. В любом случае, доспех из драконьей чешуи
очень высоко ценится.
Пока вы носите этот доспех, вы получаете бонус +1
к КД, преимущество на спасброски против Оружия
дыхания драконов и сопротивление к одному типу
урона, определённому видом дракона из таблицы (см.
таблицу).
Кроме того, вы можете сосредоточить свои чувства
действием магия, чтобы определить расстояние и на-
правление к ближайшему дракону того же вида, что и
броня, в пределах 30 миль от вас. Это действие нельзя
применять повторно до следующего рассвета.
Дракон Тип урона
Черный Кислотный
Синий Электрический
Латунный Огоненный
Бронза Электрический
Медный Кислотный
Золотой Огненный
Зелёный Ядовитый
Красный Огненный
Серебряный Холодный
Белый Холодный",40000 зм
Убийца драконов,Dragon Slayer,Оружие,Редкий,Не требуется,Нет,Нет,Нет,"Оружие (любое простое или воинское)
Вы получаете бонус +1 к броскам атаки и урону,
нанесённому этим магическим оружием.
Оружие наносит дополнительно 3к6 урона того же
типа, что и оружие, если целью является дракон.",4000 зм
Шлем ужаса,Dread Helm,Чудесный предмет,Обычный,Не требуется,Нет,Нет,Нет,"Этот жуткий стальной шлем заставляет ваши глаза
светиться красным, когда вы его носите.",100 зм
Парящая сфера,Driftglobe,Чудесный предмет,Необычный,Не требуется,Нет,Нет,Нет,"Эта небольшая сфера толстого стекла весит 1 фунт.
Находясь в пределах 60 футов от неё, вы можете про-
изнести командное слово и заставить её излучать свет,
эквивалетный заклинаням Свет или Дневной свет (на
ваш выбор). Эффект, дублирующий заклинание Днев-
ной свет, нельзя использовать повторно до следующего
рассвета.
Вы можете действием магия произнести другое ко-
мандное слово, заставив светящуюся сферу подняться
в воздух и парить на высоте не более 5 футов от земли.
Сфера может парить пока вы или другое существо не
схватите её. Если вы передвигаетесь более чем на 60
футов от парящей сферы, она следует за вами, оста-
ваясь в пределах 60 футов от вас, выбирая при этом
кратчайший маршрут. Если что-либо препятствует
перемещению сферы, она мягко опускается на землю,
становясь неактивной, и её свет тухнет.",400 зм
